timestamp,city,aqi,temp,humidity,wind_speed
2025-11-08 19:13:02.403701,Delhi,213,,,
2025-11-08 19:13:03.473860,Gurgaon,156,,,
2025-11-08 19:13:04.540549,Mumbai,124,,,
2025-11-08 19:23:05.488882,Delhi,213,21.1,43,1.03
2025-11-08 19:23:06.614882,Gurgaon,156,21.01,43,1.03
2025-11-08 19:23:08.274063,Mumbai,126,29.95,58,3.09
2025-11-08 19:33:09.058685,Delhi,213,21.1,43,1.03
2025-11-08 19:33:10.061003,Gurgaon,156,21.01,43,1.03
2025-11-08 19:33:11.039965,Mumbai,128,29.95,58,3.09
2025-11-08 19:43:13.350680,Delhi,213,20.1,49,1.03
2025-11-08 19:43:15.480988,Gurgaon,156,20.01,49,1.03
2025-11-08 19:43:18.664019,Mumbai,128,29.89,58,3.09
2025-11-08 19:53:20.721978,Delhi,213,20.1,49,1.03
2025-11-08 19:53:22.993424,Gurgaon,156,20.01,49,1.03
2025-11-08 19:53:23.768913,Mumbai,128,28.95,61,3.6
2025-11-08 20:03:33.292253,Delhi,221,20.1,49,1.03
2025-11-08 20:03:36.297237,Gurgaon,156,20.01,49,1.03
2025-11-08 20:04:07.337891,Mumbai,128,28.95,61,3.6
